Date,Season,Month,ID,Species,Respiration temp (oC),Buoyant Weight (g),Buoyant Weight temp (oC),O2μmol/hr,Ash Free Dry Mass (g),O2μmol/hr g Ash Free Dry Mass,label
10.02.22,Summer,Feb,1,Isotealia,0.8,1.046,0.9,19.31610793,5.1285688,3.76637395,
10.02.22,Summer,Feb,7,Urticinopsis,0.8,2.23,1,40.46298849,10.744044,3.766085516,
10.02.22,Summer,Feb,8,Isotealia,0.8,2.05,1.1,23.1204902,9.89034,2.337684063,n = 6
10.02.22,Summer,Feb,9,Urticinopsis,0.8,2.582,1.1,15.30205778,12.4135096,1.232693918,n = 4
10.02.22,Summer,Feb,11,Urticinopsis,0.8,3.355,1.4,25.57608165,16.079694,1.59058261,
10.02.22,Summer,Feb,13,Isotealia,0.8,1.348,0.8,18.9108203,6.5608944,2.882354013,
10.02.22,Summer,Feb,15,Isotealia,0.8,1.631,0.9,20.78481856,7.9031068,2.62995542,
10.02.22,Summer,Feb,16,Urticinopsis,0.8,1.083,0.9,19.62323198,5.3040524,3.69966782,
10.02.22,Summer,Feb,21,Isotealia,0.8,0.585,1,10.35696142,2.942138,3.520216054,
10.02.22,Summer,Feb,25,Isotealia,0.8,1.205,1.1,22.3416026,5.882674,3.797865155,
30.06.22,Winter,June,1,Isotealia,-0.8,1.262,-0.7,10.96581237,6.1530136,1.782185622,
30.06.22,Winter,June,7,Urticinopsis,-0.8,2.499,-0.6,25.55103629,12.0198572,2.125735428,
30.06.22,Winter,June,8,Isotealia,-0.8,2.283,-0.6,20.82290241,10.9954124,1.893780938,
30.06.22,Winter,June,9,Urticinopsis,-0.8,2.474,-0.6,25.03139131,11.9012872,2.103250757,
30.06.22,Winter,June,11,Urticinopsis,-0.8,3.406,-0.4,11.91347397,16.3215768,0.729921754,n = 4
30.06.22,Winter,June,13,Isotealia,-0.8,1.647,-0.7,13.76091459,7.9789916,1.724643324,n = 6
30.06.22,Winter,June,15,Isotealia,-0.8,1.836,-0.4,17.4325368,8.8753808,1.964145223,
30.06.22,Winter,June,16,Urticinopsis,-0.8,1.203,-0.3,13.75168186,5.8731884,2.341433805,
30.06.22,Winter,June,21,Isotealia,-0.8,0.776,-0.6,21.85769934,3.8480128,5.6802564,
30.06.22,Winter,June,25,Isotealia,-0.8,1.099,-0.6,9.908080901,5.3799372,1.841672223,
