Anemone,Sequence confirmation,Suspected Species,Pedal Disc 1 (cm),Pedal Disc 2 (cm),Pedal Disc 3 (cm),Pedal Disc Average Diameter (cm),Average Pedal Disc Area (cm2),Wet Weight (g),Buoyant Weight (g),Dry Weight (g),Ash Free Dry (g),Buoyant Weight (g),Temperature (oC),Ash Free Dry (g)
A,Urticonopsis,Urticonopsis,3.3,3.3,3.4,3.333333333,10.47197551,27.35,0.575,3.099,2.396,0.575,2.3,2.396
B,Urticinopsis,Urticonopsis,5.4,3.8,3.3,4.166666667,13.08996939,32.048,0.881,5.36,4.695,0.881,2.3,4.695
C,Isotealia,Isotealia,4.6,3.9,3.9,4.133333333,12.98524963,39.63,0.534,3.835,NA,0.534,2.3,NA
D,Isotealia,Isotealia,7.1,7,7.3,7.133333333,22.4100276,64.277,1.338,8.139,NA,1.338,2.3,NA
E,Urticinopsis,Urticonopsis,5.9,4.8,4.6,5.1,16.02212253,86.02,1.215,6.232,NA,1.215,2.3,NA
F,Urticinopsis,Urticonopsis,4.1,4.8,3.7,4.2,13.19468915,19.76,0.678,3.859,NA,0.678,2.3,NA
G,Urticinopsis,Urticonopsis,7.2,8.6,7.4,7.733333333,24.29498319,59.85,1.369,8.606,7.39,1.369,2.3,7.39
H,Isotealia,Isotealia,5.6,4.5,6.7,5.6,17.59291886,75.52,1.695,10.814,NA,1.695,2.3,NA
I,Isotealia,Isotealia,7.7,6.8,8.2,7.566666667,23.77138441,129.236,1.652,NA,NA,1.652,2.3,NA
J,Urticonopsis,Urticonopsis,7.5,7.5,7.4,7.466666667,23.45722515,49.219,1.557,8.383,NA,1.557,2.3,NA
K,Isotealia,Isotealia,8,8,7.9,7.966666667,25.02802147,239.249,2.158,15.085,11.289,2.158,2.3,11.289
L,Isotealia,Isotealia,7.8,8,7.3,7.7,24.19026343,146.617,1.978,9.902,NA,1.978,2.3,NA
M,Urticonopsis,Urticonopsis,6.3,9.1,6.7,7.366666667,23.14306588,66.62,1.907,10.239,NA,1.907,2.3,NA
N,Urticinopsis,Isotealia,7.9,7.6,6.6,7.366666667,NA,157.1,3.6,20.604,17.144,3.6,2.3,17.144
O,Urticinopsis,Urticonopsis,10.5,8.3,9.7,9.5,29.84513021,76.5,2.37,13.847,NA,2.37,2.3,NA
2A,Urticinopsis,Urticinopsis,3.9,3.3,3.8,3.666666667,11.51917306,12.087,0.295,1.591,1.292,0.295,2.3,1.292
2B,Isotealia,Isotealia,5.6,6.5,5.7,5.933333333,18.64011641,75.592,1.175,6.838,5.034,1.175,2.3,5.034
2C,Isotealia,Isotealia,6.5,5,4,5.166666667,16.23156204,60.719,1,5.942,4.402,1,2.3,4.402
2D,Urticinopsis,Urticinopsis,6.3,5.2,4.9,5.466666667,17.17403984,29.326,0.895,4.793,4.132,0.895,2.3,4.132
2E,Urticinopsis,Urticinopsis,4.7,6.1,5.4,5.4,16.96460033,75.446,1.26,8.203,6.446,1.26,2.3,6.446
2F,Urticinopsis,Urticinopsis,3.8,4.7,5.9,4.8,15.07964474,52.915,1.377,6.648,5.003,1.377,2.3,5.003
2H,Isotealia,Isotealia,10,8.7,7.8,8.833333333,27.75073511,155.297,2.043,17.181,13.72,2.043,2.3,13.72
2I,Isotealia,Isotealia,9.5,8,8.2,8.566666667,26.91297707,323.114,1.802,13.078,8.197,1.802,2.3,8.197
2J,Urticinopsis,Urticinopsis,7.4,6.8,7.8,7.333333333,23.03834613,53.829,1.756,9.415,8.262,1.756,2.3,8.262
2K,Urticinopsis,Urticinopsis,9.5,7.5,7,8,NA,245.797,3.833,22.607,16.859,3.833,2.3,16.859
2M,Urticinopsis,Urticinopsis,8.2,4.5,5.5,6.066666667,19.05899543,59.15,1.201,6.97,5.579,1.201,2.3,5.579
2N,Urticinopsis,Urticinopsis,6.7,6.7,6.5,6.633333333,20.83923127,52.877,0.989,5.798,4.523,0.989,2.3,4.523
2O,Urticinopsis,Isotealia,7,8.3,8.4,7.9,24.81858196,N/A,1.1,9.129,6.174,1.1,2.3,6.174
