Day,AnemoneID,Buoyant weight (g),Species,Net dry weight (g),Net ashed weight (g),Faeces Ash Free Dry Mass (g),Season,Year,Month,Ash Free Dry Mass of feaces (g) per (g) of Buoyant Weight,AnemoneAFDM (g),Ash Free Dry Mass faecesper (g) Ash Free Dry Mass,Boxcox
1,1,1.046,Isotealia antarctica,0.0908,0.0851,0.0057,Summer,2022,February,0.005449331,5.1285688,0.001062544,13.54654069
1,2,2.133,Urticinopsis antarctica,0.0237,0.0196,0.0041,Summer,2022,February,0.001922175,10.2839924,0.000186909,22.80885781
1,3,3.213,Urticinopsis antarctica,0.0044,0.0029,0.0016,Summer,2022,February,0.000497977,15.4062164,3.23E-05,44.81210632
1,5,2.065,Urticinopsis antarctica,0.0097,0.0069,0.0027,Summer,2022,February,0.001307506,9.961482,0.000131256,27.65528604
1,6,1.125,Isotealia antarctica,0.0044,0.0035,0.0009,Summer,2022,February,0.0008,5.50325,0.000145369,35.35533906
1,7,2.23,Urticinopsis antarctica,0.0091,0.0062,0.0028,Summer,2022,February,0.001255605,10.744044,0.000116865,28.22107038
1,8,2.05,Isotealia antarctica,0.1437,0.1183,0.0254,Summer,2022,February,0.012390244,9.89034,0.001252762,8.983799908
1,9,2.582,Urticinopsis antarctica,0.0078,0.0051,0.0027,Summer,2022,February,0.001045701,12.4135096,8.42E-05,30.92404085
1,10,1.267,Urticinopsis antarctica,0.0091,0.0064,0.0028,Summer,2022,February,0.002209945,6.1767276,0.000357786,21.27204619
1,11,3.355,Urticinopsis antarctica,0.009,0.0049,0.0041,Summer,2022,February,0.001222057,16.079694,7.60E-05,28.60581124
1,12,1.38,Isotealia antarctica,0.0068,0.0047,0.0021,Summer,2022,February,0.001521739,6.712664,0.000226697,25.63479888
1,13,1.348,Isotealia antarctica,0.0064,0.004,0.0024,Summer,2022,February,0.001780415,6.5608944,0.000271368,23.69951059
1,14,1.951,Isotealia antarctica,0.0063,0.004,0.0023,Summer,2022,February,0.001178883,9.4208028,0.000125136,29.12491372
1,15,1.631,Isotealia antarctica,0.0055,0.0033,0.0022,Summer,2022,February,0.001348866,7.9031068,0.000170675,27.22799086
1,16,1.083,Urticinopsis antarctica,0.0122,0.0066,0.0056,Summer,2022,February,0.005170822,5.3040524,0.000974881,13.90657576
1,17,2.948,Urticinopsis antarctica,0.0061,0.0041,0.0019,Summer,2022,February,0.000644505,14.1493744,4.56E-05,39.39007925
1,18,1.849,Urticinopsis antarctica,0.0206,0.0127,0.008,Summer,2022,February,0.004326663,8.9370372,0.000484127,15.2027959
1,19,0.864,Isotealia antarctica,0.0092,0.0049,0.0043,Summer,2022,February,0.004976852,4.2653792,0.001166802,14.17498595
1,20,0.971,Urticinopsis antarctica,0.0061,0.0034,0.0027,Summer,2022,February,0.002780639,4.7728588,0.000582594,18.96390169
1,21,0.585,Isotealia antarctica,0.0087,0.0062,0.0025,Summer,2022,February,0.004273504,2.942138,0.001452517,15.29705903
1,22,0.813,Isotealia antarctica,0.0058,0.0034,0.0023,Summer,2022,February,0.002829028,4.0234964,0.000703127,18.80101851
1,23,0.991,Isotealia antarctica,0.0156,0.0082,0.0073,Summer,2022,February,0.007366297,4.8677148,0.001513297,11.6513269
1,24,1.265,Urticinopsis antarctica,0.0033,0.002,0.0013,Summer,2022,February,0.001027668,6.167242,0.000166633,31.19418068
1,25,1.205,Isotealia antarctica,0.0812,0.065,0.0161,Summer,2022,February,0.013360996,5.882674,0.002271245,8.651284278
2,1,1.046,Isotealia antarctica,0.033,0.0272,0.0057,Summer,2022,February,0.005449331,5.1285688,0.001062544,13.54654069
2,2,2.133,Urticinopsis antarctica,0.0161,0.0065,0.0096,Summer,2022,February,0.004500703,10.2839924,0.000437642,14.90595557
2,3,3.213,Urticinopsis antarctica,0.0621,0.0369,0.0252,Summer,2022,February,0.007843137,15.4062164,0.000509089,11.29158997
2,5,2.065,Urticinopsis antarctica,0.0023,0.0015,0.0008,Summer,2022,February,0.000387409,9.961482,3.89E-05,50.80601676
2,6,1.125,Isotealia antarctica,0.0041,0.0023,0.0018,Summer,2022,February,0.0016,5.50325,0.000290737,25
2,7,2.23,Urticinopsis antarctica,0.0063,0.0044,0.0019,Summer,2022,February,0.000852018,10.744044,7.93E-05,34.2590736
2,8,2.05,Isotealia antarctica,0.0718,0.0491,0.0227,Summer,2022,February,0.011073171,9.89034,0.001119595,9.503071496
2,9,2.582,Urticinopsis antarctica,0.0089,0.0058,0.0031,Summer,2022,February,0.00120062,12.4135096,9.67E-05,28.86005891
2,10,1.267,Urticinopsis antarctica,0.0089,0.0059,0.003,Summer,2022,February,0.002367798,6.1767276,0.000383342,20.55074996
2,11,3.355,Urticinopsis antarctica,0.0112,0.0077,0.0035,Summer,2022,February,0.001043219,16.079694,6.49E-05,30.96080584
2,12,1.38,Isotealia antarctica,0.0125,0.0095,0.003,Summer,2022,February,0.002173913,6.712664,0.000323852,21.4476108
2,14,1.951,Isotealia antarctica,0.019,0.0132,0.0058,Summer,2022,February,0.002972834,9.4208028,0.000315561,18.34064777
2,15,1.631,Isotealia antarctica,0.0144,0.0073,0.0071,Summer,2022,February,0.004353158,7.9031068,0.000550816,15.15646025
2,16,1.083,Urticinopsis antarctica,0.0129,0.0081,0.0048,Summer,2022,February,0.004432133,5.3040524,0.000835613,15.02081882
2,17,2.948,Urticinopsis antarctica,0.0073,0.0042,0.0031,Summer,2022,February,0.00105156,14.1493744,7.43E-05,30.83777044
2,18,1.849,Urticinopsis antarctica,0.0085,0.0056,0.0029,Summer,2022,February,0.001568415,8.9370372,0.000175496,25.25047233
2,19,0.864,Isotealia antarctica,0.006,0.0039,0.0021,Summer,2022,February,0.002430556,4.2653792,0.000569834,20.28370026
2,20,0.971,Urticinopsis antarctica,0.0196,0.0148,0.0048,Summer,2022,February,0.004943357,4.7728588,0.001035722,14.22292802
2,21,0.585,Isotealia antarctica,0.0037,0.0027,0.001,Summer,2022,February,0.001709402,2.942138,0.000581007,24.18677119
2,22,0.813,Isotealia antarctica,0.0135,0.0094,0.0041,Summer,2022,February,0.00504305,4.0234964,0.0012534,14.08164407
2,23,0.991,Isotealia antarctica,0.0075,0.0052,0.0023,Summer,2022,February,0.002320888,4.8677148,0.000476792,20.75739781
2,24,1.265,Urticinopsis antarctica,0.0039,0.0023,0.0015,Summer,2022,February,0.001185771,6.167242,0.000192269,29.04019897
2,25,1.205,Isotealia antarctica,0.0183,0.012,0.0062,Summer,2022,February,0.005145228,5.882674,0.000874641,13.94112072
3,1,1.046,Isotealia antarctica,0.0076,0.0044,0.0032,Summer,2022,February,0.003059273,5.1285688,0.000596516,18.07968598
3,2,2.133,Urticinopsis antarctica,0.1566,0.1341,0.0225,Summer,2022,February,0.010548523,10.2839924,0.001025723,9.736529251
3,5,2.065,Urticinopsis antarctica,0.0219,0.0104,0.0115,Summer,2022,February,0.005569007,9.961482,0.000559054,13.40019499
